Nom_scientifique,Nom_anglais,Nom_français,photo,Habitat_principal,Habitat_secondaire,LienURL,Lisence,droits,annotation,Type
Zapornia pusilla,Baillon's Crake,Marouette de Baillon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMarouette%20de%20Baillon.jpg?alt=media&token=85d07ad5-8f96-4798-b63c-e564dfa4368d,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMarouette%20de%20Baillon.mp3?alt=media&token=8ece0c19-2a2f-4a20-87b0-99335197598c,,C,,
Porzana porzana,Spotted Crake,Marouette ponctuée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMarouette%20ponctu%C3%A9e.jpg?alt=media&token=adb5bf0a-f040-47eb-9e6f-86bb11eda2c1,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMarouette%20ponctu%C3%A9e%20(2).wav?alt=media&token=8a270d1d-f66d-43db-b7bc-c397aa3ba83c,,D,,call
Alcedo atthis,Common Kingfisher,Martin-pêcheur d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMartin-p%C3%AAcheur%20d'Europe.jpg?alt=media&token=eeed472d-afba-4ff6-8d83-5f91f369f04f,Milieu humide,Milieu littora,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMartin-p%C3%AAcheur%20d'Europe.mp3?alt=media&token=c4f33999-ada7-4651-ac9c-be823c2284fc,,D,,call
Tachymarptis melba,Alpine Swift,Martinet à ventre blanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMartinet%20%C3%A0%20ventre%20blanc.jpg?alt=media&token=c1853583-9ac7-404f-8b55-eff263938200,Milieu montagnard,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMartinet%20%C3%A0%20ventre%20blanc.wav?alt=media&token=63178b8b-49e3-402e-8ef5-cba651553ac3,,D,,call
Apus apus,Common Swift,Martinet noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMartinet%20noir.jpg?alt=media&token=15147569-1a9e-4811-bbae-e32bc2a9f79c,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMartinet%20noir.wav?alt=media&token=a4bfcaf3-13f2-4712-b015-e6d1fa497fc1,,D,,call
Larus cachinnans,Caspian Gull,Goéland pontique,,Milieu littoral,Milieu urbain,,,,pas de son,
Turdus torquatus,Ring Ouzel,Merle à plastron,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMerle%20%C3%A0%20plastron.jpg?alt=media&token=a0bc4feb-f5c4-4ef3-ad30-6eb2b714a660,Milieu montagnard,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20%C3%A0%20plastron.wav?alt=media&token=b0694b02-c619-4328-aa93-1fd342aad7d4,,D,,song
Turdus merula,Common Blackbird,Merle noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMerle%20noir.jpg?alt=media&token=561da237-c32e-4fdc-84f3-8c675726b8ca,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20noir.mp3?alt=media&token=6658496a-f54d-43b7-af40-708da97e7412,,D,,song
Aegithalos caudatus,Long-tailed Tit,Mésange à longue queue,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FM%C3%A9sange%20%C3%A0%20longue%20queue.jpg?alt=media&token=70d03ec6-d11b-476b-b87d-80e63433614a,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20%C3%A0%20longue%20queue.wav?alt=media&token=886baaca-2d21-4466-a434-132221f5bfc4,,D,,song
Cyanistes caeruleus,Eurasian Blue Tit,Mésange bleue,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FM%C3%A9sange%20bleue.jpg?alt=media&token=f6668ccd-804c-41ea-8a08-5db2bc044595,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20bleue.mp3?alt=media&token=0252dc16-d7ff-452a-8195-f00a0f24098b,,D,,song
Poecile montanus,Willow Tit,Mésange boréale,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FM%C3%A9sange%20bor%C3%A9ale.jpg?alt=media&token=3551867c-8757-49f2-a8da-9e80252a577d,Milieu montagnard,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20bor%C3%A9ale.wav?alt=media&token=63777e66-4060-42bb-b264-e647dfc61449,,D,,song
Parus major,Great Tit,Mésange charbonnière,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FM%C3%A9sange%20charbonni%C3%A8re.jpg?alt=media&token=f911860b-7823-4d15-b725-08d992f1b526,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20charbonni%C3%A8re.wav?alt=media&token=57fe828c-750f-443e-a5c1-655cc8141398,,D,,song
Lophophanes cristatus,European Crested Tit,Mésange huppée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FM%C3%A9sange%20hupp%C3%A9e.jpg?alt=media&token=cb5a7f56-bcf3-42e6-b809-1e81467692bf,Milieu forestier,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20hupp%C3%A9e.wav?alt=media&token=73cca71e-5d6b-4672-ab6a-39ac9fb46f4a,,D,coupé une partie,song
Periparus ater,Coal Tit,Mésange noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FM%C3%A9sange%20noire.jpg?alt=media&token=eb2928b0-5613-4e30-af7d-e05499dc64ca,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20noire.wav?alt=media&token=084a640f-5d2a-4590-b2c7-b88957dd4755,,D,,song
Poecile palustris,Marsh Tit,Mésange nonnette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FM%C3%A9sange%20nonnette.jpg?alt=media&token=1697cf4a-aaad-49c9-984f-79f30e5a6e0d,Milieu forestier,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20nonnette.wav?alt=media&token=482ef77d-40ca-4223-90ee-30fe8c2a8649,,D,,song/call
Milvus migrans,Black Kite,Milan noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMilan%20noir.jpg?alt=media&token=66f9adb0-6fc1-4181-b842-dfa1224714c2,Milieu agricole,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20noir%20BIS.wav?alt=media&token=62ba62ed-757c-4e31-8b2a-a8617f1818c8,,D,,Alarm Calls
Milvus milvus,Red Kite,Milan royal,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMilan%20royal.jpg?alt=media&token=79b2fb1b-88f1-42ec-96f9-a5e0518ef69d,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20royal.mp3?alt=media&token=4d0bd781-bdc6-4910-9fa9-97fd7830bcfa,https://www.youtube.com/watch?v=K8o9ty1oxfU,D,besoin d'etre retrazvailler,call
Passer domesticus,House Sparrow,Moineau domestique,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMoineau%20domestique.jpg?alt=media&token=cb046fba-b2f8-48b0-a3f0-a21ad8af07b2,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20domestique.wav?alt=media&token=9b746e1f-4595-4bcd-80c6-d809bb83b985,,D,,call
Passer montanus,Eurasian Tree Sparrow,Moineau friquet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMoineau%20friquet.jpg?alt=media&token=65a39b60-1ba1-46cc-9b2e-0ad51908dc42,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20friquet.wav?alt=media&token=f6f7638b-d98c-4351-9a3e-afea44c5f374,,D,a verifeir avec celui du moineau domestique,song
Petronia petronia,Rock Sparrow,Moineau soulcie,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMoineau%20soulcie.jpg?alt=media&token=078355df-5a87-4c21-816c-f68f0e07dfb9,Milieu montagnard,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20soulcie.wav?alt=media&token=d65ccf03-6118-4a8f-8f38-1824d325100a,,D,,call
Monticola solitarius,Blue Rock Thrush,Monticole bleu,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMonticole%20bleu.jpg?alt=media&token=eda549b7-9f01-4dcf-8365-08e4fd4d4de4,Milieu montagnard,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMonticole%20bleu.mp3?alt=media&token=50271d85-90c4-46cc-a5f2-56435c247520,https://www.youtube.com/shorts/hU3wLDih2pY?feature=share,C,,song
Chroicocephalus ridibundus,Black-headed Gull,Mouette rieuse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMouette%20rieuse.jpg?alt=media&token=24c751c4-1401-4ba3-a45e-0b34604d01c6,Milieu littoral,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMouette%20rieuse.wav?alt=media&token=5c8f0699-ff51-4312-b08c-f275e40e773b,,D,,Call
Rissa tridactyla,Black-legged Kittiwake,Mouette tridactyle,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMouette%20tridactyle.jpg?alt=media&token=2f65ebfb-3b02-49cc-b145-70a4b4655d35,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMouette%20tridactyle.wav?alt=media&token=172c7ded-da4c-4fbf-8e88-c0c068f53caf,,D,,call
Hydrobates leucorhous,Leach's Storm Petrel,Océanite culblanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FOc%C3%A9anite%20culblanc.jpg?alt=media&token=cab44ae8-4338-4cac-afa8-c22aee47e08b,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FOc%C3%A9anite%20culblanc.wav?alt=media&token=c769688e-3e3f-4949-ba36-e590ca2b7c13,,D,,call
Burhinus oedicnemus,Eurasian Stone-curlew,Œdicnème criard,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2F%C5%92dicn%C3%A8me%20criard.jpg?alt=media&token=a8418f59-3482-48f3-8389-34ae3b5a7499,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C5%92dicn%C3%A8me%20criard.mp3?alt=media&token=a095b5c1-509b-4fb0-87b1-e064566373e3,https://www.youtube.com/watch?v=CEI03cp277A,D,,call
Anser brachyrhynchus,Pink-footed Goose,Oie à bec court,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FOie%20%C3%A0%20bec%20court.jpg?alt=media&token=fdc25cec-9818-4086-b3a4-60deaf4b7b8f,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FOie%20%C3%A0%20bec%20court.wav?alt=media&token=9ee63634-766a-4914-9417-e5daad06c7e5,,D,,call
Anser anser,Greylag Goose,Oie cendrée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FOie%20cendr%C3%A9e.jpg?alt=media&token=a181b3c1-3d97-4696-bc9f-afb5aad2dd16,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FOie%20cendr%C3%A9e.wav?alt=media&token=52b1f4b2-1a7f-4a9c-ba5d-901dd71d1c99,,D,pareil qure oie cendre donc a voir,call
Anser albifrons,Greater White-fronted Goose,Oie rieuse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FOie%20rieuse.jpg?alt=media&token=ebaea782-7646-4a07-a642-f618c1ff82c5,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FOie%20rieuse.wav?alt=media&token=eef70e60-70bd-45fd-bea1-7527cb227bed,,D,,call
Panurus biarmicus,Bearded Reedling,Panure à moustaches,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPanure%20%C3%A0%20moustaches.jpg?alt=media&token=9ce4b3f4-c5e6-48fd-9cdb-7fad67854ae7,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPanure%20%C3%A0%20moustaches.mp3?alt=media&token=c16c4b3d-84d1-4838-9fad-d6a879e0c27a,https://www.youtube.com/shorts/G3UtLedBn0Q,C,,
Perdix perdix,Grey Partridge,Perdrix grise,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPerdrix%20grise.jpg?alt=media&token=131bd793-11a9-45a6-b07e-2536088bef00,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerdrix%20grise.mp3?alt=media&token=713d57fb-7c0e-4136-95b9-fe60d8348668,,D,pos fou mais ca va,call
Alectoris rufa,Red-legged Partridge,Perdrix rouge,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPerdrix%20rouge.jpg?alt=media&token=ecdf95ed-d347-4aa1-8e08-0d41a34f05e4,Milieu urbain,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerdrix%20rouge.wav?alt=media&token=bcce70ef-541d-493a-90f6-38c62bbd42ab,,D,,call
Psittacula krameri,Rose-ringed Parakeet,Perruche à collier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPerruche%20%C3%A0%20collier.jpg?alt=media&token=bcf60b8f-54c3-429a-9df0-8f67722d87d1,Milieu urbain,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerruche%20%C3%A0%20collier.wav?alt=media&token=30281270-5945-4c3a-b63b-1f422ca1d252,,D,,call
Otus scops,Eurasian Scops Owl,Petit-duc scops,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPetit-duc%20scops.jpg?alt=media&token=b4e5bacc-1c7b-442b-81c6-9d7cbc9b5641,Milieu forestier,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPetit-duc%20scops.mp3?alt=media&token=6de4b0ee-8daa-4f34-9881-c8fb39c19b56,,D,pas tres fort,call
Phoebetria palpebrata,Light-mantled Albatross,Albatros fuligineux,,Milieu littoral,,,,,,
Phalaropus lobatus,Red-necked Phalarope,Phalarope à bec étroit,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPhalarope%20%C3%A0%20bec%20%C3%A9troit.jpg?alt=media&token=bc0db493-b132-441a-99cc-d35e3e3f6229,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhalarope%20%C3%A0%20bec%20%C3%A9troit.mp3?alt=media&token=19349201-c0a0-48f9-b303-22076d55d1d5,https://youtu.be/xq3BHnSKR2w,C,a verifier,call
Acrocephalus paludicola,Aquatic Warbler,Phragmite aquatique,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPhragmite%20aquatique.jpg?alt=media&token=b6bde738-095e-48ed-a07a-097a49645772,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhragmite%20aquatique%20(2).mp3?alt=media&token=8e66da01-75fa-4608-b024-7ba3a88723f7,https://www.youtube.com/watch?v=ha9GT7Lcovs,C,,song
Acrocephalus palustris,Marsh Warbler,Rousserolle verderolle,,Milieu littoral,Milieu humide,,,,J4AI PAS PAS GRAVE,
Acrocephalus schoenobaenus,Sedge Warbler,Phragmite des joncs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPhragmite%20des%20joncs.jpg?alt=media&token=8926f4aa-1256-4dee-a982-19de99d0a934,Milieu forestier,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhragmite%20des%20joncs.wav?alt=media&token=bc506b96-6092-4b9f-9655-3a921726b5b0,,D,,song
Ichthyaetus melanocephalus,Mediterranean Gull,Mouette mélanocéphale,,Milieu littoral,Milieu humide,,,,J4AI PAS PAS GRAVE,
Dendrocopos major,Great Spotted Woodpecker,Pic épeiche,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPic%20%C3%A9peiche.jpg?alt=media&token=03f92dac-ce64-43b4-9a4d-699f9c3d7446,Milieu forestier,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20%C3%A9peiche.wav?alt=media&token=cb86e620-c820-46e3-a3dd-6559ce83e57a,,D,,call
Dryobates minor,Lesser Spotted Woodpecker,Pic épeichette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPic%20%C3%A9peichette.jpg?alt=media&token=9ffe0367-cd2a-445e-a383-3e99d01c1e91,Milieu forestier,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20%C3%A9peichette.mp3?alt=media&token=80fe1551-4738-4196-8397-6924bdbfc2e6,https://www.youtube.com/watch?v=ELWV9ULo434,C,,call
Dendrocoptes medius,Middle Spotted Woodpecker,Pic mar,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPic%20mar.jpg?alt=media&token=2f364c39-ef80-4188-b21d-dbd103c2cbb6,Milieu forestier,Milieu montagnard,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20mar.mp3?alt=media&token=4f2721bd-62fc-4157-b608-60bd7ccfbf82,https://www.youtube.com/watch?v=5-V9zNNrQOw,C,,song
Dryocopus martius,Black Woodpecker,Pic noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPic%20noir.jpg?alt=media&token=05236601-629a-4d54-a6c2-43fa05f18c88,Milieu forestier,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20noir.mp3?alt=media&token=220d21a4-28d1-4d95-b10f-bd4134d4f6a1,,D,,song
Picus viridis,European Green Woodpecker,Pic vert,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPic%20vert.jpg?alt=media&token=ecfbb148-1750-4ee4-9cfa-c385f6cf1e09,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20vert.wav?alt=media&token=2e4a6de1-11e6-436d-8aab-d59a0281e934,,D,,song
Calidris canutus,Red Knot,Bécasseau maubèche,,Milieu littoral,Milieu humide,,,,J4AI PAS PAS GRAVE,
Pica pica,Eurasian Magpie,Pie bavarde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPie%20bavarde.jpg?alt=media&token=581ebe7a-06c8-4b29-95e1-62e318df38e8,Milieu Urbain,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPie%20bavarde.mp3?alt=media&token=3634d44e-e321-48d1-b487-6cf81ffa0683,,D,,song
Gavia stellata,Red-throated Loon,Plongeon catmarin,,Milieu littoral,Milieu humide,,,,J4AI PAS PAS GRAVE,
Lanius senator,Woodchat Shrike,Pie-grièche à tête rousse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPie-gri%C3%A8che%20%C3%A0%20t%C3%AAte%20rousse.jpg?alt=media&token=13161597-4d0c-4314-ae2d-e8da52eac24a,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPie-gri%C3%A8che%20%C3%A0%20t%C3%AAte%20rousse.mp3?alt=media&token=9b012a4f-0bac-4bb3-a064-71841751cd26,https://youtu.be/FLg5JWFTtvs,D,,call
Tadorna ferruginea,Ruddy Shelduck,Tadorne casarca,,Milieu littoral,Milieu humide,,,,J4AI PAS PAS GRAVE,
Lanius collurio,Red-backed Shrike,Pie-grièche écorcheur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPie-gri%C3%A8che%20%C3%A9corcheur.jpg?alt=media&token=487fed3a-ed2f-4d8e-9fd6-2d28f5758ffb,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPie-gri%C3%A8che%20%C3%A9corcheur%20(2).mp3?alt=media&token=d30c3c44-9d68-4547-8163-02a55cb525a2,https://www.youtube.com/watch?v=K8o9ty1oxfU,D,,song
Xema sabini,Sabine's Gull,Mouette de Sabine,,Milieu littoral,,,,,J'AI PAS PAS GRAVE,
Columba livia,Rock Dove,Pigeon biset,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPigeon%20biset.jpg?alt=media&token=b2bd456e-b26b-4623-8601-4e7ae14150a0,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPigeon%20biset.wav?alt=media&token=f6663742-5e80-4cda-a455-c3e1c6088fea,,D,,call
Columba oenas,Stock Dove,Pigeon colombin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPigeon%20colombin.jpg?alt=media&token=a048bf31-1410-4a6e-ab32-b18f895904ff,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPigeon%20colombin.mp3?alt=media&token=cdf2503e-3e93-4947-b776-1f6b7a6bc32c,,D,,call
Calonectris diomedea,Scopoli's Shearwater,Puffin de Scopoli,,Milieu littoral,,,,,J'AI PAS PAS GRAVE,
Columba palumbus,Common Wood Pigeon,Pigeon ramier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPigeon%20ramier.jpg?alt=media&token=2e2b56bf-7732-4066-898c-44bed0943f7f,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPigeon%20ramier.wav?alt=media&token=4e44c3ff-86d8-4e93-bbaa-bf92ce075d30,,D,,song
Alca torda,Razorbill,Pingouin torda,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPingouin%20torda.jpg?alt=media&token=f2f72c5f-0ebf-46c9-a7f7-b3140d80e91d,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPingouin%20torda.wav?alt=media&token=84024161-76e4-4536-96da-7a7ef5f64c68,,D,,call
Fringilla coelebs,Common Chaffinch,Pinson des arbres,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPinson%20des%20arbres.jpg?alt=media&token=073fed88-33ff-4ef7-8c81-2eb724fbc520,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20des%20arbres.mp3?alt=media&token=90418a28-4997-498c-9836-1c3d138fd863,,D,,song
Anthus spinoletta,Water Pipit,Pipit spioncelle,,Milieu littoral,,,,,J'AI PAS PAS GRAVE,
Fringilla montifringilla,Brambling,Pinson du Nord,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPinson%20du%20Nord.jpg?alt=media&token=e612b295-f315-4f8c-8d29-39c1cef41943,Milieu forestier,Milieu montagnard,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20du%20Nord.wav?alt=media&token=88669eb5-ec99-478f-a61c-b1f01317de42,,,pas super son,
Anthus trivialis,Tree Pipit,Pipit des arbres,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPipit%20des%20arbres.jpg?alt=media&token=4ceafab6-b87f-49b2-b74e-058450772f62,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPipit%20des%20arbres.wav?alt=media&token=d7de3bf0-e906-4195-8241-f304fcaada7e,,D,,song
Anthus pratensis,Meadow Pipit,Pipit farlouse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FPipit%20farlouse.jpg?alt=media&token=b658514c-3311-40af-b15a-7a75a564956c,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPipit%20farlouse.wav?alt=media&token=1daf2924-a10c-43c8-ade5-8fc0482bddaa,,D,,song
